Motor_Raw,MT6_Raw,Motor_Accum,MT6_Accum,Output_Accum,Progress_Perc
166.377,281.777,-400.254,-88.638,-26.489,0.3
162.773,281.030,-403.857,-89.385,-26.713,0.3
159.434,280.261,-407.197,-90.154,-26.943,0.3
156.006,279.536,-410.625,-90.879,-27.159,0.3
152.666,278.877,-413.965,-91.538,-27.356,0.3
149.326,278.284,-417.305,-92.131,-27.534,0.3
145.986,277.690,-420.644,-92.725,-27.711,0.3
142.559,277.141,-424.072,-93.274,-27.875,0.3
139.219,276.636,-427.412,-93.779,-28.026,0.3
135.967,275.867,-430.664,-94.548,-28.256,0.3
132.539,275.142,-434.092,-95.273,-28.473,0.3
129.199,274.351,-437.432,-96.064,-28.709,0.3
125.859,273.625,-440.771,-96.790,-28.926,0.3
122.432,272.900,-444.199,-97.515,-29.142,0.3
119.268,272.131,-447.363,-98.284,-29.372,0.3
115.928,271.406,-450.703,-99.009,-29.589,0.3
112.588,270.637,-454.043,-99.778,-29.819,0.3
109.248,269.802,-457.383,-100.613,-30.068,0.3
105.820,269.099,-460.810,-101.316,-30.278,0.3
102.568,268.396,-464.062,-102.019,-30.488,0.3
99.229,267.693,-467.402,-102.722,-30.699,0.3
95.801,266.946,-470.830,-103.469,-30.922,0.3
92.373,266.111,-474.258,-104.304,-31.171,0.3
89.033,265.386,-477.598,-105.029,-31.388,0.3
85.693,264.639,-480.937,-105.776,-31.611,0.3
82.178,263.826,-484.453,-106.589,-31.854,0.3
78.838,263.123,-487.793,-107.292,-32.064,0.3
75.234,262.266,-491.396,-108.149,-32.321,0.3
71.719,261.431,-494.912,-108.984,-32.570,0.3
68.291,260.596,-498.340,-109.819,-32.820,0.4
64.512,259.761,-502.119,-110.654,-33.069,0.4
60.996,258.904,-505.635,-111.511,-33.325,0.4
57.481,258.047,-509.150,-112.368,-33.581,0.4
53.789,257.036,-512.842,-113.379,-33.883,0.4
50.186,256.003,-516.445,-114.412,-34.192,0.4
46.494,254.971,-520.137,-115.444,-34.501,0.4
42.803,254.092,-523.828,-116.323,-34.763,0.4
39.199,253.323,-527.432,-117.092,-34.993,0.4
35.508,252.708,-531.123,-117.708,-35.177,0.4
31.904,252.158,-534.726,-118.257,-35.341,0.4
28.301,251.521,-538.330,-118.894,-35.532,0.4
25.049,250.510,-541.582,-119.905,-35.834,0.4
21.621,249.609,-545.010,-120.806,-36.103,0.4
18.106,249.016,-548.525,-121.399,-36.280,0.4
14.678,248.225,-551.953,-122.190,-36.517,0.4
11.162,247.434,-555.469,-122.981,-36.753,0.4
7.734,246.621,-558.896,-123.794,-36.996,0.4
4.307,245.852,-562.324,-124.563,-37.226,0.4
0.791,245.105,-565.840,-125.310,-37.449,0.4
357.451,244.402,-569.180,-126.013,-37.659,0.4
354.023,243.611,-572.607,-126.804,-37.896,0.4
350.508,242.886,-576.123,-127.529,-38.112,0.4
347.168,242.161,-579.463,-128.254,-38.329,0.4
343.652,241.436,-582.978,-128.979,-38.546,0.4
340.225,240.667,-586.406,-129.749,-38.775,0.4
336.797,239.876,-589.834,-130.540,-39.012,0.4
333.457,239.106,-593.174,-131.309,-39.242,0.4
329.941,238.206,-596.689,-132.209,-39.511,0.4
326.514,237.371,-600.117,-133.044,-39.760,0.4
323.086,236.470,-603.545,-133.945,-40.030,0.4
319.658,235.547,-606.973,-134.868,-40.305,0.4
316.231,234.756,-610.400,-135.659,-40.542,0.4
312.715,233.855,-613.916,-136.560,-40.811,0.4
309.375,233.064,-617.256,-137.351,-41.047,0.4
305.859,232.317,-620.771,-138.098,-41.271,0.4
302.432,231.548,-624.199,-138.867,-41.501,0.4
299.004,230.845,-627.627,-139.570,-41.711,0.4
295.664,230.164,-630.967,-140.251,-41.914,0.4
292.148,229.395,-634.482,-141.020,-42.144,0.5
288.897,228.647,-637.734,-141.768,-42.367,0.5
285.469,227.856,-641.162,-142.559,-42.604,0.5
281.953,226.978,-644.678,-143.437,-42.866,0.5
278.525,226.099,-648.105,-144.316,-43.129,0.5
275.098,225.286,-651.533,-145.129,-43.372,0.5
271.670,224.539,-654.961,-145.876,-43.595,0.5
268.154,223.813,-658.476,-146.602,-43.812,0.5
264.815,223.044,-661.816,-147.371,-44.042,0.5
261.299,222.253,-665.332,-148.162,-44.278,0.5
258.047,221.550,-668.584,-148.865,-44.488,0.5
254.531,220.825,-672.099,-149.590,-44.705,0.5
251.016,220.100,-675.615,-150.315,-44.922,0.5
247.676,219.551,-678.955,-150.864,-45.086,0.5
244.072,218.936,-682.558,-151.479,-45.270,0.5
240.645,218.320,-685.986,-152.095,-45.454,0.5
237.217,217.705,-689.414,-152.710,-45.637,0.5
233.877,217.002,-692.754,-153.413,-45.848,0.5
230.361,216.277,-696.269,-154.138,-46.064,0.5
226.934,215.552,-699.697,-154.863,-46.281,0.5
223.418,214.761,-703.213,-155.654,-46.517,0.5
220.078,214.058,-706.553,-156.357,-46.727,0.5
216.650,213.245,-709.980,-157.170,-46.970,0.5
213.135,212.432,-713.496,-157.983,-47.213,0.5
209.795,211.553,-716.836,-158.862,-47.476,0.5
206.367,210.806,-720.264,-159.609,-47.699,0.5
202.852,210.037,-723.779,-160.378,-47.929,0.5
199.424,209.136,-727.207,-161.279,-48.198,0.5
196.084,208.367,-730.547,-162.048,-48.428,0.5
192.481,207.554,-734.150,-162.861,-48.671,0.5
189.053,206.763,-737.578,-163.652,-48.908,0.5
185.537,206.060,-741.094,-164.355,-49.118,0.5
182.110,205.334,-744.521,-165.081,-49.334,0.5
178.770,204.500,-747.861,-165.916,-49.584,0.5
175.342,203.862,-751.289,-166.553,-49.774,0.5
172.002,203.225,-754.629,-167.190,-49.965,0.5
168.662,202.478,-757.969,-167.937,-50.188,0.5
165.322,201.841,-761.308,-168.574,-50.378,0.5
161.895,201.226,-764.736,-169.189,-50.562,0.5
158.643,200.566,-767.988,-169.849,-50.759,0.5
155.215,199.841,-771.416,-170.574,-50.976,0.5
151.875,199.050,-774.756,-171.365,-51.212,0.5
148.535,198.347,-778.096,-172.068,-51.423,0.5
145.107,197.600,-781.523,-172.815,-51.646,0.6
141.768,196.853,-784.863,-173.562,-51.869,0.6
138.428,196.084,-788.203,-174.331,-52.099,0.6
135.088,195.183,-791.543,-175.232,-52.368,0.6
131.660,194.304,-794.971,-176.111,-52.631,0.6
128.320,193.557,-798.310,-176.858,-52.854,0.6
124.893,192.788,-801.738,-177.627,-53.084,0.6
121.553,192.085,-805.078,-178.330,-53.294,0.6
118.213,191.360,-808.418,-179.055,-53.511,0.6
114.785,190.569,-811.846,-179.846,-53.747,0.6
111.533,189.800,-815.098,-180.615,-53.977,0.6
108.106,189.075,-818.525,-181.340,-54.194,0.6
104.766,188.350,-821.865,-182.065,-54.410,0.6
101.250,187.625,-825.381,-182.791,-54.627,0.6
98.086,186.921,-828.545,-183.494,-54.837,0.6
94.658,186.152,-831.973,-184.263,-55.067,0.6
91.318,185.361,-835.312,-185.054,-55.303,0.6
87.891,184.680,-838.740,-185.735,-55.507,0.6
84.463,184.109,-842.168,-186.306,-55.678,0.6
81.123,183.428,-845.508,-186.987,-55.881,0.6
77.783,182.571,-848.847,-187.844,-56.137,0.6
74.356,181.516,-852.275,-188.899,-56.453,0.6
70.664,180.483,-855.967,-189.932,-56.761,0.6
67.149,179.605,-859.482,-190.811,-57.024,0.6
63.457,178.770,-863.174,-191.645,-57.273,0.6
59.766,178.110,-866.865,-192.305,-57.470,0.6
56.162,177.495,-870.469,-192.920,-57.654,0.6
52.383,176.946,-874.248,-193.469,-57.818,0.6
48.779,176.111,-877.851,-194.304,-58.068,0.6
45.352,175.034,-881.279,-195.381,-58.390,0.6
41.660,174.309,-884.971,-196.106,-58.606,0.6
38.145,173.606,-888.486,-196.809,-58.817,0.6
34.541,172.793,-892.090,-197.622,-59.059,0.6
30.938,172.002,-895.693,-198.413,-59.296,0.6
27.598,171.255,-899.033,-199.160,-59.519,0.6
23.994,170.508,-902.637,-199.907,-59.742,0.6
20.479,169.761,-906.152,-200.654,-59.966,0.6
17.139,169.036,-909.492,-201.379,-60.182,0.6
13.623,168.333,-913.008,-202.082,-60.392,0.6
10.195,167.607,-916.435,-202.808,-60.609,0.6
6.768,166.882,-919.863,-203.533,-60.826,0.6
3.252,166.135,-923.379,-204.280,-61.049,0.7
359.912,165.344,-926.719,-205.071,-61.286,0.7
356.484,164.575,-930.146,-205.840,-61.515,0.7
352.969,163.718,-933.662,-206.697,-61.771,0.7
349.541,162.883,-937.090,-207.532,-62.021,0.7
346.026,162.004,-940.605,-208.411,-62.284,0.7
342.686,161.126,-943.945,-209.290,-62.546,0.7
339.258,160.269,-947.373,-210.146,-62.802,0.7
335.830,159.478,-950.801,-210.937,-63.039,0.7
332.227,158.599,-954.404,-211.816,-63.301,0.7
328.887,157.786,-957.744,-212.629,-63.544,0.7
325.459,157.017,-961.172,-213.398,-63.774,0.7
322.031,156.226,-964.599,-214.189,-64.011,0.7
318.604,155.457,-968.027,-214.958,-64.240,0.7
315.176,154.731,-971.455,-215.684,-64.457,0.7
